Usage: ./mm-cuda <size>
blockIdx = 15,15, threadIdx = 0,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 1,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 2,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 3,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 4,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 5,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 6,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 7,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 8,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 9,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 10,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 11,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 12,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 13,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 14,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 15,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 16,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 17,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 18,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 19,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 20,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 21,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 22,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 23,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 24,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 25,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 26,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 27,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 28,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 29,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 30,9, blockDim = 32,32, start time = -673515299
blockIdx = 15,15, threadIdx = 31,9, blockDim = 32,32, start time = -673515299
